EI	EL	assocID	chemsIncludedInEvidenceBySource	diseaseClasses_DO	diseaseClasses_HPO	diseaseClasses_MSH	diseaseClasses_UMLS_ST	diseaseName	diseaseType	diseaseUMLSCUI	diseaseVocabularies	disease_inheritance	disease_prevalence_class	disease_prevalence_geo_area	disease_prevalence_type	geneDPI	geneDSI	geneEnsemblIDs	geneNcbiID	geneNcbiType	geneProteinClassIDs	geneProteinClassNames	geneProteinStrIDs	genepLI	numCTsupportingAssociation	numChemsIncludedInEvidences	numPMIDSWithChemsIncludedInEvidences	numPMIDs	numberChemsFiltered	numberPmidsWithChemsFiltered	score	symbolOfGene	yearFinal	yearInitial
0.9440559440559441		50006982	[]	[disease of anatomical entity (7)]	[]	[Immune System Diseases (C20), Endocrine System Diseases (C19)]	[Disease or Syndrome (T047)]	Polyglandular Type I Autoimmune Syndrome	disease	C0085859	[OMIM_240300, MESH_D016884, NCI_C129727, ORDO_3453, ORDO_282196, DO_0050167, DO_14040, MONDO_0009411, UMLS_C0085859]	Autosomal recessive	1-9 / 100 000,1-9 / 1 000 000	Finland,France	Point prevalence,Point prevalence	0.87	0.482	[ENSG00000160224]	326	protein-coding	[]	[]	[O43918]	2.7675E-16	0			160			1.0	AIRE	2024	1967
0.931899641577061		45250762	[]	[disease of anatomical entity (7)]	[Abnormality of the immune system (02715)]	[Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Nutritional and Metabolic Diseases (C18), Immune System Diseases (C20)]	[Disease or Syndrome (T047)]	Severe Combined Immunodeficiency	disease	C0085110	[MESH_D016511, HPO_HP:0004430, NCI_C3472, ORDO_183660, DO_5812, DO_627, MONDO_0015974, UMLS_C0085110]	Autosomal recessive,X-linked recessive	1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000	Europe,France,Greece,Chile,Costa rica,United States	Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth	0.913	0.403	[ENSG00000196839]	100	protein-coding	[DTO_05007624]	[Enzyme]	[P00813]	9.3522E-15	1			53			1.0	ADA	2023	1985
0.9708333333333333		100250325	[]	[]	[]	[Immune System Diseases (C20), Skin and Connective Tissue Diseases (C17), Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Pathological Conditions, Signs and Symptoms (C23)]	[Disease or Syndrome (T047)]	Cryopyrin-Associated Periodic Syndromes	disease	C2316212	[MESH_D056587, NCI_C84657, ORDO_208650, DO_0050854, MONDO_0016168, UMLS_C2316212]	Autosomal dominant,Not applicable	1-9 / 1 000 000	France	Point prevalence	0.913	0.356	[ENSG00000162711]	114548	protein-coding	[]	[]	[Q96P20]	9.3769E-6	1			113			1.0	NLRP3	2023	2001
0.9372197309417041		90143748	[]	[disease of anatomical entity (7)]	[]	[Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Immune System Diseases (C20), Hemic and Lymphatic Diseases (C15)]	[Disease or Syndrome (T047)]	Autoimmune Lymphoproliferative Syndrome	disease	C1328840	[OMIM_601859, ICD9CM_279.41, MESH_D056735, NCI_C37864, ORDO_3261, DO_6688, MONDO_0011158, MONDO_0017979, EFO_1001264, UMLS_C1328840]	Autosomal dominant,Autosomal recessive				0.913	0.335	[ENSG00000026103]	355	protein-coding	[]	[]	[P25445]	0.99961	0			58			1.0	FAS	2022	1975
0.946236559139785		70328887	[]	[disease of anatomical entity (7), genetic disease (630)]	[]	[Immune System Diseases (C20), Skin and Connective Tissue Diseases (C17), Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Pathological Conditions, Signs and Symptoms (C23)]	[Disease or Syndrome (T047)]	Chronic Infantile Neurological, Cutaneous, and Articular Syndrome	disease	C0409818	[OMIM_607115, MESH_D056587, NCI_C116380, OMIM_606416, ORDO_208650, ORDO_1451, DO_0050854, DO_0090029, MONDO_0011776, MONDO_0016168, UMLS_C0409818]	Autosomal dominant,Not applicable				0.913	0.356	[ENSG00000162711]	114548	protein-coding	[]	[]	[Q96P20]	9.3769E-6	0			24			1.0	NLRP3	2020	2001
0.9655172413793104		60277838	[]	[syndrome (225), genetic disease (630)]	[]	[Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Skin and Connective Tissue Diseases (C17), Immune System Diseases (C20), Pathological Conditions, Signs and Symptoms (C23)]	[Disease or Syndrome (T047)]	Muckle-Wells Syndrome	disease	C0268390	[OMIM_191900, MESH_D056587, NCI_C119054, OMIM_606416, ORDO_575, ORDO_208650, DO_0050854, MONDO_0008633, MONDO_0016168, UMLS_C0268390]	Autosomal dominant				0.913	0.356	[ENSG00000162711]	114548	protein-coding	[]	[]	[Q96P20]	9.3769E-6	0			13			1.0	NLRP3	2020	2001
0.9605263157894737		105350030	[]	[disease of anatomical entity (7), genetic disease (630)]	[]	[]	[Disease or Syndrome (T047)]	STING-ASSOCIATED VASCULOPATHY, INFANTILE-ONSET	disease	C4014722	[OMIM_615934, OMIM_612374, NCI_C177547, ORDO_425120, DO_0111457, MONDO_0014405, UMLS_C4014722]	Autosomal dominant	<1 / 1 000 000	Worldwide	Point prevalence	0.913	0.432	[ENSG00000184584]	340061	protein-coding	[]	[]	[Q86WV6]	0.0014654	0			32			1.0	STING1	2022	2014
0.9558823529411765		45281371	[]	[disease of anatomical entity (7)]	[]	[Endocrine System Diseases (C19), Immune System Diseases (C20)]	[Disease or Syndrome (T047)]	Polyendocrinopathies, Autoimmune	disease	C0085409	[MESH_D016884, ICD10_E31.0, NCI_C84576, ORDO_282196, DO_0090110, DO_14040, MONDO_0017278, UMLS_C0085409]					0.87	0.482	[ENSG00000160224]	326	protein-coding	[]	[]	[O43918]	2.7675E-16	3			1			1.0	AIRE	2006	2006
0.9850746268656716		65302081	[]	[disease of anatomical entity (7), genetic disease (630)]	[]	[Pathological Conditions, Signs and Symptoms (C23), Immune System Diseases (C20), Skin and Connective Tissue Diseases (C17), Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)]	[Disease or Syndrome (T047)]	Familial cold urticaria	disease	C0343068	[OMIM_120100, MESH_D056587, NCI_C119053, ORDO_208650, ORDO_47045, DO_0050854, DO_0090061, DO_0090062, DO_0090065, MONDO_0014498, MONDO_0007349, MONDO_0018768, MONDO_0016168, UMLS_C0343068]	Autosomal dominant				0.913	0.356	[ENSG00000162711]	114548	protein-coding	[]	[]	[Q96P20]	9.3769E-6	0			1			1.0	NLRP3	2001	2001
0.9245283018867925		90121827	[]	[genetic disease (630), disease of anatomical entity (7), physical disorder (0080015)]	[]	[Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Hemic and Lymphatic Diseases (C15)]	[Disease or Syndrome (T047)]	Congenital dyserythropoietic anemia, type II	disease	C1306589	[OMIM_224100, MESH_D000742, OMIM_610512, NCI_C175991, ORDO_85, ORDO_98873, DO_0111397, DO_0111401, DO_1338, MONDO_0019403, MONDO_0009134, UMLS_C1306589]	Autosomal recessive				0.87	0.525	[ENSG00000101310]	10483	protein-coding	[DTO_05007584]	[Enzyme modulator]	[Q15437]	1.5141E-18	0			33			1.0	SEC23B	2023	2009
